#{"t_start": 1681919817.437588, "env_id": null}
r,l,t
490.611847,2,0.230941
607.666317,2,0.2315
27.5475,2,0.232068
829.91475,2,0.232641
592.379798,2,0.233219
282.79143,2,0.233785
700.12575,2,0.234351
487.622847,2,0.234945
182.716965,2,0.235543
502.909365,2,0.236187
875.250917,2,0.236865
639.883,2,0.237542
785.179533,2,0.238158
766.877798,2,0.238744
799.798633,2,0.239461
706.10375,2,0.240189
255.24393,2,0.240816
610.655317,2,0.241399
700.12575,2,0.24197
672.998633,2,0.242528
667.020633,2,0.243091
592.379798,2,0.243644
298.767917,2,0.244197
232.378917,2,0.244745
827.5267,2,0.245298
697.13675,2,0.245845
827.5267,2,0.246394
577.5502,2,0.24694
382.865895,2,0.247489
298.767917,2,0.248035
917.16375,2,0.248581
298.767917,2,0.249131
592.379798,2,0.249761
574.871847,2,0.250413
82.6425,2,0.251038
592.1693,2,0.251705
790.36375,2,0.252404
382.865895,2,0.253192
694.915317,2,0.253931
842.1458,2,0.254648
790.36375,2,0.255488
492.305333,2,0.256194
694.915317,2,0.256841
319.9415,2,0.257419
700.12575,2,0.258093
841.518633,2,0.258932
498.283333,2,0.25963
639.893517,2,0.260293
832.90375,2,0.260955
598.357798,2,0.261623
319.627917,2,0.262312
374.722917,2,0.262941
353.862917,2,0.26356
841.518633,2,0.26421
574.871847,2,0.265181
724.4671,2,0.266265
319.627917,2,0.267035
872.261917,2,0.267649
829.91475,2,0.268248
470.735833,2,0.268856
700.12575,2,0.269444
574.871847,2,0.270456
487.622847,2,0.271129
652.401533,2,0.271823
187.6437,2,0.272511
27.5475,2,0.273237
432.0731,2,0.273909
82.6425,2,0.274783
790.36375,2,0.275784
610.655317,2,0.277951
532.147565,2,0.280831
375.2874,2,0.281645
784.38575,2,0.283248
874.62375,2,0.284079
938.02375,2,0.284706
725.157798,2,0.285511
700.12575,2,0.289143
874.62375,2,0.291476
938.650917,2,0.293805
829.91475,2,0.296518
959.8245,2,0.300099
703.293517,2,0.303033
674.055317,2,0.304689
784.699333,2,0.305538
202.2628,2,0.30628
607.666317,2,0.30699
464.757833,2,0.309025
790.677333,2,0.313342
382.865895,2,0.321003
674.055317,2,0.326084
554.011847,2,0.329497
917.16375,2,0.330808
502.909365,2,0.359431
784.38575,2,0.360402
319.9415,2,0.361115
790.36375,2,0.362197
577.5502,2,0.362883
607.666317,2,0.363531
639.893517,2,0.364169
257.3578,2,0.364802
871.63475,2,0.365431
790.36375,2,0.367891
871.63475,2,0.368914
457.50673,2,0.369796
724.4671,2,0.370635
790.36375,2,0.371317
700.12575,2,0.37196
652.401533,2,0.372588
319.627917,2,0.373191
